Date,Away,Away_3rdQ,Away_Score,Home,Home_3rdQ,Home_Score
1110,Oklahoma City Thunder,97,125,Washington Wizards,71,101
1110,Utah Jazz,80,114,Cleveland Cavaliers,80,118
1110,Los Angeles Lakers,66,88,Miami Heat,75,101
1110,New York Knicks,85,111,Toronto Raptors,85,109
1110,Dallas Mavericks,75,105,New Orleans Pelicans,94,120
1110,Charlotte Hornets,85,104,Minnesota Timberwolves,80,95
1110,Boston Celtics,76,99,Milwaukee Bucks,59,83
1111,Los Angeles Lakers,70,99,Orlando Magic,74,101
1111,Toronto Raptors,96,119,Philadelphia 76ers,77,103
1111,New York Knicks,79,93,Charlotte Hornets,69,95
1111,Indiana Pacers,81,102,Boston Celtics,74,91
1111,LA Clippers,78,108,Dallas Mavericks,84,118
1111,New Orleans Pelicans,75,98,Atlanta Hawks,76,106
1111,Golden State Warriors,74,100,Memphis Grizzlies,63,84
1111,Brooklyn Nets,79,106,Houston Rockets,83,98
1111,Milwaukee Bucks,80,102,Denver Nuggets,87,103
1111,Detroit Pistons,70,92,Sacramento Kings,86,101
1111,San Antonio Spurs,81,113,Portland Trail Blazers,75,101
1112,Utah Jazz,66,91,Miami Heat,66,92
1112,Golden State Warriors,97,129,Minnesota Timberwolves,87,116
1112,LA Clippers,73,104,Phoenix Suns,93,118
1113,Utah Jazz,63,93,Orlando Magic,80,102
1113,Minnesota Timberwolves,73,103,Indiana Pacers,90,107
1113,Cleveland Cavaliers,66,90,New York Knicks,72,84
1113,New Orleans Pelicans,61,81,Toronto Raptors,72,100
1113,Atlanta Hawks,69,93,Boston Celtics,80,106
1113,Philadelphia 76ers,61,85,Oklahoma City Thunder,71,102
1113,Portland Trail Blazers,70,100,Memphis Grizzlies,79,101
1113,Charlotte Hornets,75,97,Chicago Bulls,73,102
1113,Los Angeles Lakers,55,82,Dallas Mavericks,64,90
1113,Houston Rockets,74,98,Denver Nuggets,82,107
1113,Brooklyn Nets,82,109,Sacramento Kings,85,111
1114,Detroit Pistons,80,96,LA Clippers,81,101
1114,Orlando Magic,76,99,Washington Wizards,79,108
1114,Dallas Mavericks,82,110,Houston Rockets,67,98
1114,Cleveland Cavaliers,61,105,Milwaukee Bucks,70,108
1114,Philadelphia 76ers,60,83,San Antonio Spurs,76,92
1114,Denver Nuggets,54,81,Phoenix Suns,88,105
1114,Brooklyn Nets,77,99,Golden State Warriors,70,107
1115,New Orleans Pelicans,65,87,New York Knicks,68,95
1115,Memphis Grizzlies,81,114,Minnesota Timberwolves,79,106
1115,Portland Trail Blazers,66,94,Charlotte Hornets,89,106
1115,Utah Jazz,74,97,Atlanta Hawks,74,96
1115,Boston Celtics,72,100,Oklahoma City Thunder,74,85
1115,Toronto Raptors,82,101,Sacramento Kings,79,107
1115,Detroit Pistons,66,85,Los Angeles Lakers,66,97
1116,Dallas Mavericks,68,92,Philadelphia 76ers,65,86
1116,Indiana Pacers,75,95,Chicago Bulls,79,96
1116,Boston Celtics,87,111,Houston Rockets,68,95
1116,Oklahoma City Thunder,80,114,Memphis Grizzlies,79,122
1116,Portland Trail Blazers,60,80,San Antonio Spurs,65,93
1116,Los Angeles Lakers,75,101,Phoenix Suns,80,120
1117,Milwaukee Bucks,66,86,Washington Wizards,85,115
1117,Atlanta Hawks,68,88,Brooklyn Nets,72,90
1117,Minnesota Timberwolves,62,103,Miami Heat,69,91
1117,Cleveland Cavaliers,81,99,Detroit Pistons,75,104
1117,Charlotte Hornets,72,94,New York Knicks,80,102
1117,Denver Nuggets,83,115,New Orleans Pelicans,75,98
1117,Toronto Raptors,83,110,Golden State Warriors,90,115
1118,Indiana Pacers,84,112,Philadelphia 76ers,62,85
1118,Minnesota Timberwolves,76,101,Orlando Magic,71,104
1118,Brooklyn Nets,86,111,Charlotte Hornets,86,116
1118,Dallas Mavericks,70,106,Boston Celtics,78,102
1118,New Orleans Pelicans,74,103,Oklahoma City Thunder,80,110
1118,Portland Trail Blazers,76,103,Houston Rockets,61,108
1118,Sacramento Kings,79,97,Atlanta Hawks,81,103
1118,Denver Nuggets,79,98,San Antonio Spurs,93,109
1118,Toronto Raptors,64,89,Utah Jazz,59,93
1118,Chicago Bulls,72,103,Phoenix Suns,70,97
1119,Sacramento Kings,76,109,Miami Heat,82,116
1119,Milwaukee Bucks,79,100,Cleveland Cavaliers,86,115
1119,Golden State Warriors,85,124,LA Clippers,91,117
1120,Philadelphia 76ers,70,88,Charlotte Hornets,85,113
1120,Brooklyn Nets,67,95,Boston Celtics,91,120
1120,Detroit Pistons,68,96,Minnesota Timberwolves,65,86
1120,New York Knicks,73,93,Oklahoma City Thunder,62,90
1120,San Antonio Spurs,74,90,New Orleans Pelicans,78,104
1120,Houston Rockets,70,84,Memphis Grizzlies,79,96
1120,Utah Jazz,71,93,Dallas Mavericks,80,102
1120,Phoenix Suns,80,114,Denver Nuggets,84,107
1120,LA Clippers,73,91,Portland Trail Blazers,75,102
1120,Chicago Bulls,73,94,Golden State Warriors,77,106
1120,Toronto Raptors,76,102,Los Angeles Lakers,68,91
1121,Sacramento Kings,83,97,Orlando Magic,67,91
1121,Milwaukee Bucks,67,86,Indiana Pacers,90,123
1121,Atlanta Hawks,64,97,Cleveland Cavaliers,77,109
1121,Philadelphia 76ers,74,91,Miami Heat,67,96
1121,Washington Wizards,75,97,Detroit Pistons,73,95
1121,New York Knicks,79,107,Houston Rockets,77,102
1121,Memphis Grizzlies,61,82,San Antonio Spurs,74,92
1122,Toronto Raptors,71,91,LA Clippers,55,80
1122,Phoenix Suns,85,116,New Orleans Pelicans,92,122
1122,Boston Celtics,78,101,Brooklyn Nets,86,111
1122,Dallas Mavericks,85,114,Oklahoma City Thunder,87,117
1122,Golden State Warriors,91,118,Denver Nuggets,79,105
1122,Portland Trail Blazers,84,107,Los Angeles Lakers,74,93
1123,Orlando Magic,76,103,Cleveland Cavaliers,92,117
1123,Sacramento Kings,91,122,Charlotte Hornets,74,127
1123,New York Knicks,56,78,Miami Heat,73,95
1123,Philadelphia 76ers,73,95,Minnesota Timberwolves,74,100
1123,Detroit Pistons,62,88,Milwaukee Bucks,88,109
1123,Phoenix Suns,60,84,San Antonio Spurs,67,98
1123,Oklahoma City Thunder,88,111,Utah Jazz,68,89
1124,Indiana Pacers,93,123,Washington Wizards,82,106
1124,Boston Celtics,73,97,Atlanta Hawks,81,121
1124,Dallas Mavericks,60,96,Memphis Grizzlies,82,110
1124,LA Clippers,83,111,Denver Nuggets,72,94
1124,Chicago Bulls,71,93,Portland Trail Blazers,63,88
1124,Los Angeles Lakers,55,77,Golden State Warriors,89,111
1125,New York Knicks,63,91,Orlando Magic,72,100
1125,Washington Wizards,81,87,Charlotte Hornets,74,101
1125,Philadelphia 76ers,62,80,Boston Celtics,57,84
1125,Miami Heat,62,81,Detroit Pistons,83,104
1125,Cleveland Cavaliers,80,99,Toronto Raptors,82,103
1125,Memphis Grizzlies,82,102,Houston Rockets,77,93
1125,Sacramento Kings,96,129,Milwaukee Bucks,92,118
1125,Brooklyn Nets,76,99,Oklahoma City Thunder,83,110
1125,Atlanta Hawks,74,95,Minnesota Timberwolves,70,99
1125,Dallas Mavericks,60,83,San Antonio Spurs,63,88
